Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Sri Lanka,LKA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1.90E-08,1.45E-08,1.17E-08,1.14E-08,1.16E-08,1.12E-08,1.09E-08,7.78E-09,7.37E-09,7.28E-09,9.92E-09,..
Sri Lanka,LKA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.328487433,5.033872968,2.417011166,1.979355333,1.976928433,1.734693549,1.752199281,1.739887333,1.712656887,1.343327309,1.640030796,1.425390872
Sri Lanka,LKA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.005870696,2.22983,109.985,117.738,127.67,136.084,126.514,131.773,135.523,151.727,142.277,..
Sri Lanka,LKA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,0.891656259,0.94390432,1.019937052,..,1.102104182,1.256392806,1.045191296,1.086374577,1.417238453,1.537939715
Sri Lanka,LKA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,57.22963852,70.56569468,34.64789716,33.5146923,34.2696012,36.128104,35.81737457,30.95016561,37.41783558,42.34788371,34.30879531,31.94521259
Sri Lanka,LKA,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,74.86504079,90.83624949,100,104,105.3,105.6,103.7,106.2,97.3,88.6,85.6,..
Sri Lanka,LKA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,5867509112,9249848286,43926833891,46662738616,50766665979,52920652662,56118735647,56875086630,58741883598,58718751205,60544707010,56827528394
Sri Lanka,LKA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,16.12614924,12.12286169,20.80143543,18.90886668,21.86907152,36.05472848,31.73289198,38.01331419,31.47844443,20.28962712,16.06642556,23.70516704
Sri Lanka,LKA,Net migration,SM.POP.NETM,-195736,123894,-29797,-18388,-22324,-28607,-28426,-29875,-29586,-27435,-28011,-27245
Sri Lanka,LKA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,400775817.9,1154285559,6999731475,7261851525,7190296015,7043039552,6748702044,7140414362,5521864471,3819373807,6022594533,6721617582
Sri Lanka,LKA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,43355119.72,172941409.8,679655644.2,897049375.9,1372723043,1614044009,743466231.5,434075668.5,592289969.9,884150491.4,713015364.6,761144545.7
Sri Lanka,LKA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,615950012.2,222429336.5,445012970,373471252.4,316173950.2,-247283721.9,192955871.6,219439498.9,155349655.2,12256580.35,827259826.7,..
